Name,UserName,Time,Text,Likes,Retweets,TweetURL,UserURL,City,Country
David Shoebridge,DavidShoebridge,1/29/2022 21:33,"Art and architecture is responding to the pressures of climate change. Arthur Boyd's new Bundanon art gallery has just opened in the Southern Highlands with fire-and-flood-resistant design putting most of it underground. This should inspire and warn both.
abc.net.au
Arthur Boyd's artworks safely embedded in the landscape he loved as underground gallery opens
Two years after a $46 million collection of renowned artist Arthur Boyd's work was almost lost to a raging bushfire, a new fire-and-flood-resistant gallery opens near Nowra.
1
13
29",13,29,https://twitter.com/DavidShoebridge/status/1487539475324764160,https://twitter.com/DavidShoebridge,0,Australia
David Shoebridge,DavidShoebridge,4/4/2022 22:15,"It really is ‘now or never’ if the world is to stave off climate disaster. The IPCC report makes clear we have just three years to turn down the heat on climate change. That means the next federal parliament must act. That means vote 1 ⁦
@Greens
⁩
theguardian.com
IPCC report: ‘now or never’ if world is to stave off climate disaster
Greenhouse gas emissions must peak by 2025, say climate scientists in what is in effect their final warning
4
21
35",21,35,https://twitter.com/DavidShoebridge/status/1511105325344395264,https://twitter.com/DavidShoebridge,0,Australia
David Shoebridge,DavidShoebridge,4/13/2022 22:34,"Heading to Wollongong to launch our $500 million green steel plan with ⁦
@AdamBandt
⁩ this morning. Tackling climate change, building new industries, it’s a plan for the future 
canberratimes.com.au
Greens $500 million plan to help coal exit
Greens leader Adam Bandt says a $500 million investment in green steel would be a ""vital component"" of...
2
21
55",21,55,https://twitter.com/DavidShoebridge/status/1514371372948271107,https://twitter.com/DavidShoebridge,0,Australia
Lee Constable,Constababble,4/18/2022 22:23,"Replying to 
@KetanJ0
The contrast between the political (and media) agenda vs the citizens' agenda is stark:

The majority of the over 6k people polled by 
@ConversationEDU
 want to hear about climate change and the environment as the issues that matter most to them.
theconversation.com
#SetTheAgenda: What The Conversation's readers want politicians to address this federal election
At The Conversation we’re committed to politics coverage that goes beyond sound bites, photo ops and the gaffe of the day. That why we asked you, our readers, to help us #SetTheAgenda.
1
11
21",11,21,https://twitter.com/Constababble/status/1516180750323748864,https://twitter.com/Constababble,0,Australia
Angelo Gavrielatos,AGavrielatos,2/23/2022 21:42,"""
@JaneCaro
 speaks passionately about the need for action on climate change, public education and health funding, and gender equality.""
smh.com.au
‘We’re heading in precisely the wrong direction’: Jane Caro chases Senate spot
The feminist commentator, author and former advertising guru will run for the Reason Party in the upcoming federal election.
1
8
16",8,16,https://twitter.com/AGavrielatos/status/1496601304977707009,https://twitter.com/AGavrielatos,0,Australia
Jess Hill,jessradio,4/5/2022 23:06,"There is no statutory obligation to invite climate change deniers on to the ABC. It does not create balance, and it only functions to confuse the audience, and perpetuate the fallacy that climate change - and how to slow it down - is still a matter for debate.
Quote Tweet
QandA
@QandA
 · Apr 5
Gideon Rozner has called the Morrison government's commitment to net-zero carbon emission by 2050 ""utterly foolish"", claiming it will ""kill any prospect of Australian energy independence for good"". Submit a question via the #QandA website. | @abcnews https://ab.co/35BYZtZ
98
322
1,479",322,1479,https://twitter.com/jessradio/status/1511480411410825218,https://twitter.com/jessradio,0,Australia
James One,james00000001,3/29/2022 22:21,"Lismore flood is 20cm below the levee. #NSWFloods 

But don't worry, there's no danger from climate change! 
4
9
30",9,30,https://twitter.com/james00000001/status/1508932476982689792,https://twitter.com/james00000001,0,Australia
le_ms_deb,lemsdeb1,3/29/2022 23:12,"Where was all the action on climate change in the budget? #ClimateCrisis #Budget22 #AlboForPM
2
9
34",9,34,https://twitter.com/lemsdeb1/status/1508945222188748800,https://twitter.com/lemsdeb1,0,Australia
hepburn wind,hepburnwind,2/29/2020 21:44,Great having 180 people at Hepburn Wind making a human sign to keep global warming below lt15 CCommunities across the state are already feeling the impacts of climate change Now is the time to cut our emissions,157,50,https://twitter.com/hepburnwind/status/43820750,https://twitter.com/hepburnwind,0,Australia
Adam Morton,adamlmorton,3/14/2022 23:25,"The full federal court has found a duty of care to avoid causing Australian children harm from climate change should not be imposed on the federal environment minister.
Sussan Ley's appeal against this judgment last year is successful.
theguardian.com
Australian court finds government has duty to protect young people from climate crisis
Eight teenagers, along with 86-year-old nun, launched case to prevent the approval of a massive coalmine
45
154
195",154,195,https://twitter.com/adamlmorton/status/1503512746247172101,https://twitter.com/adamlmorton,0,Australia
Garth - Gasu in日本,gasugasu1984,3/23/2022 22:35,"Replying to 
@mccart_richard
 @Hipcatprintery
 and 3 others
I wouldn't call having a 43% emission reduction target by 2030 activist or leading action on climate change
2
1
11",1,11,https://twitter.com/gasugasu1984/status/1506761689068236800,https://twitter.com/gasugasu1984,0,Australia
QLD Conservation,QLDConservation,2/27/2022 20:56,"A question? Which political leaders are acknowledging floods will be more severe due to climate change. The science is clear.  Today the IPCC will release its report on impacts, adaptation and vulnerability.  #qldfloods #auspol
1
27
31",27,31,https://twitter.com/QLDConservation/status/1498039380820127747,https://twitter.com/QLDConservation,0,Australia
Ryan Williams,RyanWil62993886,4/23/2022 22:35,"Labor Lap Dog Gilbert allowing Wong to spew lies & opinions about Solomon Islands. Gilbert will not ask Wong this question, how many security ASIO, Defense, and Foreign Office briefings did you or anybody from labor have?
Wong thinks climate change is their number one concern?
1
3
8",3,8,https://twitter.com/RyanWil62993886/status/1517995535101091840,https://twitter.com/RyanWil62993886,0,Australia
Melissa Sweet,MelissaSweetDr,3/12/2022 23:13,"How climate change is impacting health in Australia | The Saturday Paper cc ⁦
@CroakeyNews
⁩
thesaturdaypaper.com.au
How climate change is impacting health in Australia
From the Black Summer bushfires to the extreme flooding in Queensland and New South Wales, the hidden aspect of climate change is its enormous impact on health.
19
26",19,26,https://twitter.com/MelissaSweetDr/status/1502784959521599488,https://twitter.com/MelissaSweetDr,0,Australia
Melissa Sweet,MelissaSweetDr,4/2/2022 22:46,"Climate change poses one of the biggest challenges of our lifetime. But is it a 'secondary …
abc.net.au
This week's budget theatrics occurred as Lismore flooded again. And on the ground, they say we've...
A quick glimpse at what the two major parties are spruiking as we move from the budget to the election shows climate change has dropped in priority, writes Michael Slezak.
4
6",4,6,https://twitter.com/MelissaSweetDr/status/1510388327899623424,https://twitter.com/MelissaSweetDr,0,Australia
Emma Kennedy,reef_scientist,2/27/2022 22:45,"When your government actively fund climate change through $10.3 billion of subsidies to assist fossil fuel industries, then ask you to fundraise to clean up the consequences… #QldFloods #Brisbane
Quote Tweet
Peter Dutton
@PeterDutton_MP
 · Feb 27
The water hasn’t gone down yet, and we haven’t seen the full extent of the damage to our community due to catastrophic flooding. We have started a fundraiser to help local residents and businesses who have been affected. https://gofund.me/3aca3c2b
Show this thread
9
37",9,37,https://twitter.com/reef_scientist/status/1498066891985899529,https://twitter.com/reef_scientist,0,Australia
